Mes,Gasto en Marketing (millas de USD),Ventas (millas de USD),Región,Tasa de Conversión (%)
Enero,28.24,"189,50",Oeste,2.34
Febrero,"30,68","154,08",Oeste,4.59
Marzo,6.28,"59,98",Norte,4.54
Abril,12.72,65.81,Sur,4.8
Mayonesa,"35,84","282,38",Este,"3,63"
Junio,42.53,"204,82",Este,"7,73"
Julio,18.81,"91,79",Sur,"1,57"
Agosto,45.21,"184,66",Este,2.17
Septiembre,"37,47","275,53",Este,6.19
Octubre,13.55,85.86,Este,4.36
Noviembre,"29,94","217,24",Norte,7.42
Diciembre,"20,85","172,57",Este,"3,68"
Enero,13.19,"104,58",Este,7.49
Febrero,40.35,210.32,Sur,"1,74"
Marzo,48.45,"344,65",Este,8.45
Abril,15.46,122.5,Este,8.26
Mayonesa,"8,76","67,63",Oeste,8.3
Junio,32.16,"228,72",Norte,1.81
Julio,37.8,"260,52",Sur,"7,94"
Agosto,17.43,113.12,Este,6.09
Septiembre,"35,84","154,96",Este,4.9
Octubre,28.3,"195,79",Este,"3,79"
Noviembre,7.18,82.38,Norte,7.91
Diciembre,11.2,65.41,Norte,2.11
Enero,13.41,"98,67",Oeste,7.48
Febrero,"49,74",259.01,Norte,3.39
Marzo,28.43,130.18,Sur,5.14
Abril,31.05,200.49,Sur,5.25
Mayonesa,38.07,"199,61",Este,7.59
Junio,29.39,196.02,Sur,1.71
Julio,46.09,229.29,Oeste,"7,77"
Agosto,41.36,"207,94",Este,2.2
Septiembre,23.13,110.17,Norte,7.55
Octubre,21.08,"176,29",Norte,7.89
Noviembre,"47,88","167,72",Sur,6.89
Diciembre,20.46,"145,42",Sur,"1,75"
Enero,"43,93","267,34",Oeste,3.99
Febrero,42.36,"157,73",Sur,5.88
Marzo,29.22,224.2,Este,2.45
Abril,46.51,"197,71",Sur,7.27
Mayonesa,9.37,"81,67",Norte,1.51
Junio,9.63,60.06,Sur,6.37
Julio,"36,57","248,52",Este,5.45
Agosto,45.07,"313,52",Oeste,"2,99"
Septiembre,12.18,"93,97",Sur,5.82
Octubre,17.4,92.11,Norte,7.51
Noviembre,35.26,"254,94",Sur,6.48
Diciembre,12.39,"99,92",Oeste,6.01
Enero,"36,56","200,87",Este,6.27
Febrero,"26,94","199,65",Sur,"4,75"
Marzo,"35,63","157,75",Oeste,4.28
Abril,28.47,204.09,Norte,2.22
Mayonesa,"6,95",45.53,Norte,"1,69"
Junio,15.08,"126,23",Sur,4.61
Julio,30.88,"142,38",Oeste,5.87
Agosto,10.42,78.26,Sur,"3,77"
Septiembre,27.51,219.18,Este,5.36
Octubre,11.21,103.29,Oeste,6.34
Noviembre,7.38,"53,37",Este,"1,78"
Diciembre,13.02,"119,69",Oeste,6
Enero,24.91,"162,86",Oeste,7.4
Febrero,44.49,"337,55",Oeste,6.88
Marzo,"47,72","281,76",Oeste,"1,97"
Abril,26.52,"129,75",Sur,4.08
Mayonesa,"25,75","166,56",Sur,4.99
Junio,"33,68","199,06",Sur,4.31
Julio,19.61,"137,59",Oeste,"2,79"
Agosto,10.29,73.12,Norte,"7,77"
Septiembre,7.3,"43,71",Oeste,8.06
Octubre,"33,69","223,37",Norte,2.16
Noviembre,41.55,"282,38",Este,3.12
Diciembre,35.16,"263,80",Sur,1.5
Enero,34.33,"181,94",Oeste,5.09
Febrero,24.11,"164,97",Sur,7.13
Marzo,34.55,147.12,Norte,4.23
Abril,14.41,"97,26",Oeste,3.56
Mayonesa,"34,70","233,86",Este,4.5
Junio,"28,83","221,61",Este,4.61
Julio,"38,68","270,53",Norte,8.17
Agosto,9.22,71.41,Sur,1.61
Septiembre,40.3,"301,73",Oeste,3.3
Octubre,"35,93","187,59",Este,1.54
Noviembre,"36,28",161.13,Oeste,5.23
Diciembre,27.36,"117,56",Norte,"6,95"
Enero,48.89,207.23,Norte,7.37
Febrero,14.16,"60,98",Oeste,7.91
Marzo,18.46,"95,66",Sur,4.04
Abril,15.24,"131,89",Norte,5.2
Mayonesa,7.17,"62,88",Norte,7.27
Junio,"45,68","342,77",Oeste,"6,77"
Julio,8.6,68,Oeste,"3,85"
Agosto,32.32,188.07,Norte,6.38
Septiembre,33.39,176.03,Oeste,"7,68"
Octubre,22.01,139.51,Este,"1,92"
Noviembre,5.6,"65,89",Este,6.09
Diciembre,42.9,291.15,Sur,3.91
Enero,22.32,"101,96",Oeste,3.71
Febrero,29.82,210.18,Norte,7.8
Marzo,"36,97","134,77",Sur,3.88
Abril,35.39,"222,78",Sur,8.32
