numero_de_operacion,monto,producto,categoria
1,744.13,Smartphone,Electrónica
2,148.14,Silla,Hogar
3,96.07,Tablet,Electrónica
4,39.5,Mancuernas,Deportes
5,510.3,Silla,Hogar
6,206.85,Tablet,Electrónica
7,228.24,Arroz,Alimentación
8,811.34,Pasta,Alimentación
9,701.16,Laptop,Electrónica
10,163.92,Zapatos,Moda
11,101.82,Camiseta,Moda
12,849.02,Auriculares,Electrónica
13,809.06,Pasta,Alimentación
14,133.58,Zapatillas,Deportes
15,556.52,Mancuernas,Deportes
16,581.58,Pasta,Alimentación
17,664.65,Smartphone,Electrónica
18,856.76,Camiseta,Moda
19,285.19,Monitor,Electrónica
20,376.48,Jeans,Moda
21,704.8,Licuadora,Hogar
22,638.63,Tablet,Electrónica
23,171.77,Chocolate,Alimentación
24,989.63,Balón,Deportes
25,687.77,Chocolate,Alimentación
26,823.58,Laptop,Electrónica
27,275.06,Chaqueta,Moda
28,877.6,Microondas,Hogar
29,658.88,Jeans,Moda
30,151.44,Raqueta,Deportes
