fecha,venta,inversion_marketing,region
2026-01-01,3481,702,Norte
2026-01-02,4970,560,Centro
2026-01-03,4056,423,Sur
2026-01-04,2476,728,Este
2026-01-05,2979,249,Este
2026-01-06,1476,946,Norte
2026-01-07,1788,921,Centro
2026-01-08,4823,910,Centro
2026-01-09,4684,942,Centro
2026-01-10,2746,249,Centro
2026-01-11,2291,265,Oeste
2026-01-12,1523,450,Norte
2026-01-13,3638,747,Oeste
2026-01-14,1124,803,Sur
2026-01-15,4161,282,Centro
2026-01-16,4791,602,Oeste
2026-01-17,4020,443,Oeste
2026-01-18,2908,405,Este
2026-01-19,1236,597,Sur
2026-01-20,2546,376,Oeste
2026-01-21,3138,697,Sur
2026-01-22,2369,273,Oeste
2026-01-23,1478,664,Centro
2026-01-24,2893,517,Oeste
2026-01-25,2963,160,Centro
2026-01-26,3358,492,Sur
2026-01-27,2447,931,Este
2026-01-28,3064,716,Este
2026-01-29,4981,304,Este
2026-01-30,3805,708,Norte
