Mes,Gasto en Marketing (miles $),Ventas (miles $),Región,Tasa de Conversión (%)
Noviembre,72.32,254.05,Este,7.86
Junio,91.31,52.75,Sur,9.21
Septiembre,45.99,107.96,Norte,2.25
Noviembre,96.34,471.85,Oeste,02.09
Julio,22.55,435.36,Este,2.66
Diciembre,77.7,303.6,Sur,05.01
Febrero,98.6,50.17,Oeste,03.03
Octubre,11.39,255.11,Norte,1.23
Enero,34.4,196.23,Norte,7.73
Diciembre,47.95,457.26,Sur,5.82
Septiembre,22.74,410.27,Norte,1.8
Agosto,23.89,430.15,Sur,8.45
Agosto,38.38,459.96,Sur,8.53
Mayo,78.33,468.26,Sur,3.48
Abril,56.77,99.96,Este,9.54
Marzo,89.22,70.76,Este,2.33
Noviembre,14.59,465.87,Sur,7.91
Septiembre,80.48,377.32,Este,3.43
Agosto,10.6,66.35,Sur,9.48
Febrero,22.01,374.61,Norte,5.39
Septiembre,48.06,490.55,Norte,6.15
Agosto,67.53,74.56,Sur,3.43
Noviembre,39.29,471.77,Norte,9.4
Marzo,62.54,234.79,Sur,8.49
Marzo,11.71,87.51,Sur,5.1
Febrero,85.32,414.51,Este,9.55
Agosto,78.55,285.66,Oeste,5.89
Enero,89.44,461.43,Oeste,9.51
Marzo,33.39,109.72,Norte,9.96
Septiembre,29.66,248.86,Sur,8.69
Marzo,51.25,330.52,Este,4.38
Diciembre,78.13,92.95,Oeste,4.35
Julio,16.98,459.47,Sur,1.63
Octubre,69.11,173.45,Oeste,6.84
Marzo,45,381.93,Oeste,8.33
Mayo,59.5,308.24,Oeste,2.89
Marzo,95.93,313.85,Este,6.26
Julio,37.05,459.01,Sur,5.81
Febrero,41.2,294.91,Norte,8.78
Julio,60.5,445.25,Sur,2.47
Enero,33.29,319.65,Oeste,4.2
Abril,36.13,403.33,Sur,2.18
Septiembre,72.78,416.14,Norte,06.06
Agosto,87.23,148.26,Norte,8.61
Junio,65.41,355.15,Este,8.34
Marzo,58.17,188.69,Sur,08.06
Junio,93.04,125.92,Este,03.06
Noviembre,18.94,252.07,Norte,4.94
Noviembre,66.05,235.12,Sur,5.1
Mayo,70.01,394.43,Sur,01.06
Julio,33.58,223.5,Oeste,5.5
Mayo,68.18,116.93,Sur,04.07
Abril,55.03,402.75,Norte,4.25
Abril,61.37,386.41,Sur,1.85
Octubre,24.29,324.31,Sur,9.69
Julio,35.43,321.99,Oeste,5.48
Marzo,59.59,52.99,Este,4.15
Enero,94.84,217.5,Sur,1.3
Octubre,83.29,293.63,Este,1.45
Febrero,10.1,250.68,Norte,4.73
Agosto,47.52,473.12,Oeste,1.37
Septiembre,53.26,322.39,Norte,8.53
Octubre,71.04,71.68,Oeste,1.2
Junio,39.04,456.54,Norte,4.81
Marzo,82.41,235.02,Sur,3.54
Junio,55.58,214.25,Este,8.96
Diciembre,95.35,289.81,Sur,1.5
Agosto,50.63,310.34,Oeste,6.29
Mayo,10.22,157.11,Sur,3.48
Octubre,78.5,397.69,Norte,7.5
Enero,28.03,169.33,Este,1.54
Abril,10.49,427.25,Norte,3.44
Septiembre,41.2,120.16,Este,9.85
Octubre,69.82,163.84,Este,4.17
Marzo,94.89,154.62,Sur,5.71
Julio,89.07,237.57,Norte,8.32
Noviembre,96.72,290.83,Norte,7.89
Mayo,26.44,111.26,Este,1.22
Marzo,59.18,417.65,Norte,3.63
Octubre,92.5,358.72,Oeste,3.34
Agosto,74.67,258.28,Oeste,5
Agosto,67.44,290.75,Este,2.28
Febrero,86.66,404.22,Sur,3.52
Julio,30.16,454.71,Este,3.92
Febrero,80.97,143.88,Sur,2.37
Mayo,43.62,92.81,Sur,5.63
Marzo,15.07,281.85,Sur,4.94
Junio,57.25,400.92,Este,07.06
Noviembre,19.72,295.45,Sur,8.55
Septiembre,96.62,243.69,Este,6.57
Abril,90.11,96.86,Oeste,7.75
Junio,82.7,96.69,Oeste,1.82
Noviembre,69.47,271.54,Norte,3.33
Octubre,12.72,237.97,Norte,6.27
Febrero,98.59,313.19,Norte,4.96
Marzo,29.24,208.49,Sur,2.1
Abril,44.46,298.6,Este,4.89
Enero,76.25,452,Sur,04.05
Junio,41.66,199.68,Oeste,5.83
Septiembre,68.74,481.87,Sur,7.94
