Numero de operacion,Monto,Producto,Categoria
10001,257.88,Licuadora,Cocina
10002,678.71,Espejo,Hogar
10003,588.06,Lampara,Hogar
10004,1432.53,Espejo,Hogar
10005,774.69,Espejo,Hogar
10006,407.2,Cojin,Hogar
10007,1113.99,Lampara,Hogar
10008,326.71,Smartphone,Electronica
10009,1101.4,Freidora,Cocina
10010,937.22,Microondas,Cocina
10011,1335.69,Laptop,Electronica
10012,1496.37,Monitor,Electronica
10013,395.05,Pantalones,Moda
10014,1405.03,Freidora,Cocina
10015,1286.85,Alfombra,Hogar
10016,1253.88,Alfombra,Hogar
10017,860.63,Microondas,Cocina
10018,1341.73,Camiseta,Moda
10019,1247.4,Alfombra,Hogar
10020,631.8,Zapatos,Moda
10021,978.6,Cojin,Hogar
10022,815.56,Espejo,Hogar
10023,506.57,Licuadora,Cocina
10024,669.85,Cojin,Hogar
10025,327.44,Alfombra,Hogar
10026,74.83,Smartphone,Electronica
10027,959.46,Monitor,Electronica
10028,229.5,Alfombra,Hogar
10029,557.16,Chaqueta,Moda
10030,677.0,Cafetera,Cocina
