Fechas,Ventas,Inversion_Marketing,Region
2025-01-01,4174,376,Este
2025-01-02,4507,260,Sur
2025-01-03,1860,559,Oeste
2025-01-04,2294,413,Norte
2025-01-05,2130,121,Oeste
2025-01-06,2095,352,Sur
2025-01-07,4772,847,Sur
2025-01-08,4092,956,Sur
2025-01-09,2638,660,Norte
2025-01-10,3169,574,Sur
2025-01-11,1466,158,Norte
2025-01-12,2238,610,Sur
2025-01-13,1330,781,Oeste
2025-01-14,2482,575,Oeste
2025-01-15,3135,799,Este
2025-01-16,4444,882,Oeste
2025-01-17,4171,289,Este
2025-01-18,3919,786,Oeste
2025-01-19,4735,662,Norte
2025-01-20,1130,975,Oeste
2025-01-21,2685,666,Este
2025-01-22,4380,343,Este
2025-01-23,1769,931,Sur
2025-01-24,3391,604,Norte
2025-01-25,2515,230,Oeste
2025-01-26,4485,584,Sur
2025-01-27,3853,918,Oeste
2025-01-28,3433,746,Oeste
2025-01-29,2215,120,Sur
2025-01-30,1955,940,Sur
