Mes,Gasto en Marketing (miles $),Ventas (miles $),Región,Tasa de Conversión (%)
Mes 1,11,314,Norte,2.43
Mes 2,16,85,Norte,3.67
Mes 3,36,403,Sur,8.93
Mes 4,66,448,Oeste,8.85
Mes 5,87,145,Oeste,7.22
Mes 6,87,182,Oeste,9.73
Mes 7,39,88,Este,2.36
Mes 8,38,142,Sur,2.66
Mes 9,61,72,Sur,3.52
Mes 10,79,148,Sur,1.94
Mes 11,86,306,Oeste,8.16
Mes 12,38,232,Este,9.93
Mes 13,12,174,Norte,1.9
Mes 14,64,82,Sur,01.03
Mes 15,87,158,Oeste,3.23
Mes 16,37,433,Este,9.93
Mes 17,17,378,Norte,6.87
Mes 18,17,322,Este,8.68
Mes 19,30,221,Sur,2.88
Mes 20,43,139,Sur,2
Mes 21,58,147,Sur,1.22
Mes 22,48,374,Oeste,9.6
Mes 23,35,113,Norte,5.35
Mes 24,78,316,Oeste,1.6
Mes 25,70,259,Este,2.8
Mes 26,27,70,Sur,2.93
Mes 27,83,428,Norte,1.24
Mes 28,57,369,Oeste,3.4
Mes 29,89,120,Oeste,8.42
Mes 30,39,366,Norte,1.26
Mes 31,30,496,Oeste,2.69
Mes 32,80,167,Norte,1.35
Mes 33,64,101,Norte,9.1
Mes 34,50,269,Oeste,8.56
Mes 35,74,252,Oeste,2.72
Mes 36,89,443,Norte,8.18
Mes 37,13,466,Oeste,8.82
Mes 38,46,281,Oeste,6.41
Mes 39,47,498,Este,6.37
Mes 40,19,442,Este,5.77
Mes 41,34,98,Este,2.99
Mes 42,59,109,Norte,1.8
Mes 43,93,217,Sur,05.03
Mes 44,45,375,Sur,4.78
Mes 45,98,173,Oeste,4.99
Mes 46,41,418,Oeste,1.68
Mes 47,65,143,Este,3.52
Mes 48,13,484,Norte,2.84
Mes 49,83,237,Este,8.94
Mes 50,48,412,Este,7.73
Mes 51,42,314,Este,07.05
Mes 52,68,203,Sur,3.15
Mes 53,32,274,Norte,2.49
Mes 54,98,242,Norte,4.26
Mes 55,89,472,Sur,7.59
Mes 56,85,97,Sur,06.05
Mes 57,21,291,Sur,5.96
Mes 58,39,457,Norte,7.48
Mes 59,22,347,Oeste,1.59
Mes 60,24,259,Oeste,2.69
Mes 61,17,95,Norte,6.54
Mes 62,42,166,Sur,5.13
Mes 63,17,497,Oeste,5.87
Mes 64,76,117,Norte,1.11
Mes 65,30,447,Oeste,5.38
Mes 66,71,487,Sur,5.6
Mes 67,46,262,Oeste,07.09
Mes 68,42,229,Sur,6.45
Mes 69,94,132,Sur,3.13
Mes 70,43,363,Este,8.23
Mes 71,76,179,Este,6.21
Mes 72,89,168,Este,6.36
Mes 73,74,331,Oeste,04.06
Mes 74,24,494,Sur,04.03
Mes 75,53,383,Este,8.12
Mes 76,43,402,Este,1.64
Mes 77,88,317,Sur,9.72
Mes 78,42,282,Oeste,3.59
Mes 79,61,118,Oeste,2.75
Mes 80,70,278,Oeste,7.19
Mes 81,77,86,Sur,7.73
Mes 82,29,293,Sur,8.61
Mes 83,12,288,Sur,3.93
Mes 84,99,336,Oeste,4.88
Mes 85,79,467,Sur,8.31
Mes 86,65,273,Este,4.57
Mes 87,47,291,Este,8.38
Mes 88,24,170,Este,6.38
Mes 89,97,273,Sur,10
Mes 90,58,63,Norte,2.46
Mes 91,77,120,Este,8.84
Mes 92,31,197,Norte,04.05
Mes 93,43,216,Sur,1.39
Mes 94,27,158,Norte,3.98
Mes 95,44,232,Sur,5.73
Mes 96,23,59,Oeste,4.71
Mes 97,96,460,Sur,5.14
Mes 98,95,154,Norte,7.93
Mes 99,45,447,Sur,6.72
Mes 100,93,392,Norte,4.69
