Fecha,Ventas,Inversión marketing,Región
2026-05-15,5336.56,436.27,Este
2026-05-16,2969.35,266.55,Norte
2026-05-17,5560.2,792.06,Norte
2026-05-18,5042.96,414.66,Norte
2026-05-19,2811.83,324.41,Norte
2026-05-20,4867.47,633.36,Central
2026-05-21,4017.12,447.69,Este
2026-05-22,6356.58,511.42,Sur
2026-05-23,5688.84,590.6,Sur
2026-05-24,2791.88,372.56,Norte
2026-05-25,2056.48,178.44,Este
2026-05-26,5122.36,699.2,Oeste
2026-05-27,4717.37,698.73,Oeste
2026-05-28,1972.8,198.31,Central
2026-05-29,6812.71,717.48,Sur
2026-05-30,5727.43,476.57,Sur
2026-05-31,6138.41,914.41,Sur
2026-06-01,6698.9,714.16,Oeste
2026-06-02,5314.11,560.84,Este
2026-06-03,3631.62,460.9,Norte
2026-06-04,5154.79,474.14,Sur
2026-06-05,2480.41,264.32,Central
2026-06-06,2817.69,289.38,Norte
2026-06-07,2874.29,236.4,Este
2026-06-08,3906.99,330.66,Central
2026-06-09,6758.21,689.52,Oeste
2026-06-10,3873.79,557.9,Oeste
2026-06-11,2357.23,211.62,Central
2026-06-12,4733.86,626.25,Oeste
2026-06-13,6886.94,743.5,Sur
