Mes,Gasto en Marketing (k USD),Ventas (k USD),Región,Tasa de Conversión (%)
Enero,12.5,45.2,Norte,3.2
Febrero,15.0,52.8,Sur,3.5
Marzo,10.2,38.5,Este,2.8
Abril,18.4,65.1,Oeste,4.1
Mayo,20.1,72.4,Norte,4.3
Junio,14.3,50.1,Sur,3.4
Julio,11.2,41.2,Este,3.0
Agosto,19.8,68.9,Oeste,4.0
Septiembre,16.5,58.3,Norte,3.7
Octubre,13.0,47.5,Sur,3.1
Noviembre,25.4,90.2,Este,4.8
Diciembre,30.2,110.5,Oeste,5.2
Enero,11.8,42.1,Norte,2.9
Febrero,14.5,51.3,Sur,3.3
Marzo,10.8,39.8,Este,2.9
Abril,17.2,61.2,Oeste,3.9
Mayo,19.5,70.3,Norte,4.1
Junio,13.8,48.9,Sur,3.2
Julio,12.1,43.5,Este,3.1
Agosto,20.5,71.2,Oeste,4.2
Septiembre,15.8,56.1,Norte,3.6
Octubre,12.5,45.8,Sur,3.0
Noviembre,24.1,86.5,Este,4.6
Diciembre,28.5,105.2,Oeste,5.0
Enero,10.5,38.2,Norte,2.8
Febrero,13.2,48.1,Sur,3.1
Marzo,9.5,35.2,Este,2.6
Abril,16.1,58.3,Oeste,3.8
Mayo,18.2,66.1,Norte,3.9
Junio,12.8,46.5,Sur,3.0
Julio,10.9,40.1,Este,2.9
Agosto,18.5,65.2,Oeste,3.9
Septiembre,14.5,52.3,Norte,3.4
Octubre,11.8,43.2,Sur,2.9
Noviembre,22.5,81.2,Este,4.4
Diciembre,26.5,98.5,Oeste,4.8
Enero,9.5,35.1,Norte,2.7
Febrero,12.5,45.2,Sur,3.0
Marzo,8.8,32.5,Este,2.5
Abril,15.2,55.4,Oeste,3.7
Mayo,17.5,63.2,Norte,3.8
Junio,11.5,42.1,Sur,2.9
Julio,9.8,36.5,Este,2.7
Agosto,17.2,61.5,Oeste,3.8
Septiembre,13.5,48.9,Norte,3.3
Octubre,10.5,38.5,Sur,2.8
Noviembre,20.8,75.2,Este,4.2
Diciembre,24.5,90.1,Oeste,4.6
Enero,8.5,31.2,Norte,2.6
Febrero,11.5,41.5,Sur,2.9
Marzo,7.5,28.5,Este,2.4
Abril,14.5,52.1,Oeste,3.6
Mayo,16.5,60.1,Norte,3.7
Junio,10.5,38.2,Sur,2.8
Julio,8.5,31.5,Este,2.6
Agosto,16.2,58.1,Oeste,3.7
Septiembre,12.5,45.2,Norte,3.2
Octubre,9.5,35.2,Sur,2.7
Noviembre,19.5,70.2,Este,4.0
Diciembre,22.5,82.5,Oeste,4.4
Enero,7.5,28.5,Norte,2.5
Febrero,10.5,38.2,Sur,2.8
Marzo,6.5,25.1,Este,2.3
Abril,13.5,48.5,Oeste,3.5
Mayo,15.5,56.5,Norte,3.6
Junio,9.5,35.1,Sur,2.7
Julio,7.5,28.5,Este,2.5
Agosto,15.2,55.2,Oeste,3.6
Septiembre,11.5,41.5,Norte,3.1
Octubre,8.5,31.5,Sur,2.6
Noviembre,18.2,65.5,Este,3.8
Diciembre,20.5,75.2,Oeste,4.2
Enero,6.5,25.1,Norte,2.4
Febrero,9.5,35.1,Sur,2.7
Marzo,5.5,21.5,Este,2.2
Abril,12.5,45.2,Oeste,3.4
Mayo,14.5,52.1,Norte,3.5
Junio,8.5,31.5,Sur,2.6
Julio,6.5,25.1,Este,2.4
Agosto,14.2,51.5,Oeste,3.5
Septiembre,10.5,38.2,Norte,3.0
Octubre,7.5,28.5,Sur,2.5
Noviembre,16.5,59.5,Este,3.6
Diciembre,18.5,68.2,Oeste,4.0
Enero,5.5,21.5,Norte,2.3
Febrero,8.5,31.5,Sur,2.6
Marzo,4.5,18.2,Este,2.1
Abril,11.5,41.5,Oeste,3.3
Mayo,13.5,48.5,Norte,3.4
Junio,7.5,28.5,Sur,2.5
Julio,5.5,21.5,Este,2.3
Agosto,13.2,47.5,Oeste,3.4
Septiembre,9.5,35.1,Norte,2.9
Octubre,6.5,25.1,Sur,2.4
Noviembre,15.5,56.5,Este,3.5
Diciembre,16.5,60.5,Oeste,3.8
Enero,4.5,18.2,Norte,2.2
Febrero,7.5,28.5,Sur,2.5
Marzo,3.5,15.1,Este,2.0
Abril,10.5,38.2,Oeste,3.2
