Numero_Operacion,Monto,Producto,Categoria
1001,1337.48,Auriculares,Electrónica
1001,1337.48,Auriculares,Electrónica
1001,1337.48,Auriculares,Electrónica
1001,1337.48,Auriculares,Electrónica
1001,1337.48,Auriculares,Electrónica
1001,1337.48,Auriculares,Electrónica
1002,1387.99,Auriculares,Computación
1003,490.57,Laptop,Periféricos
1004,586.68,Laptop,Electrónica
1005,649.2,Auriculares,Computación
1006,1002.53,Teclado,Periféricos
1007,999.3,Impresora,Electrónica
1008,1191.16,Cámara,Computación
1009,316.47,Teclado,Periféricos
1010,255.26,Teclado,Periféricos
1011,946.42,Auriculares,Electrónica
1012,911.26,Auriculares,Periféricos
1013,1577.63,Impresora,Periféricos
1014,1743.41,Impresora,Electrónica
1015,598.57,Mouse,Periféricos
1016,1170.92,Monitor,Periféricos
1017,192.28,Tablet,Periféricos
1018,440.48,Tablet,Computación
1019,1141.49,Monitor,Computación
1020,825.1,Cámara,Periféricos
1021,1029.65,Teclado,Periféricos
1022,1005.3,Teclado,Computación
1023,260.31,Cámara,Periféricos
1024,618.09,Tablet,Electrónica
1025,1028.1,Cámara,Computación
1026,503.04,Teclado,Periféricos
1027,189.41,Cámara,Computación
1028,867.37,Mouse,Periféricos
1029,1989.6,Mouse,Periféricos
1030,457.9,Mouse,Periféricos
